Timestamp,ActivePowerConsumption,Returned energy Wh
2021-05-22 03:50,81.70,0.00
2021-05-22 04:00,72.30,0.00
2021-05-22 04:10,72.40,0.00
2021-05-22 04:20,79.10,0.00
2021-05-22 04:30,78.80,0.00
2021-05-22 04:40,87.50,0.00
2021-05-22 04:50,84.00,0.00
2021-05-22 05:00,78.00,0.00
2021-05-22 05:10,77.80,0.00
2021-05-22 05:20,71.90,0.00
2021-05-22 05:30,72.00,0.00
2021-05-22 05:40,82.90,0.00
2021-05-22 05:50,74.70,0.00
2021-05-22 06:00,71.80,0.00
2021-05-22 06:10,72.10,0.00
2021-05-22 06:20,78.50,0.00
2021-05-22 06:30,81.30,0.00
2021-05-22 06:40,88.50,0.00
2021-05-22 06:50,78.60,0.00
2021-05-22 07:00,77.50,0.00
2021-05-22 07:10,77.40,0.00
2021-05-22 07:20,71.30,0.00
2021-05-22 07:30,76.50,0.00
2021-05-22 07:40,81.50,0.00
2021-05-22 07:50,71.50,0.00
2021-05-22 08:00,71.90,0.00
2021-05-22 08:10,71.70,0.00
2021-05-22 08:20,71.90,0.00
2021-05-22 08:30,78.80,0.00
2021-05-22 08:40,79.20,0.00
2021-05-22 08:50,71.60,0.00
2021-05-22 09:00,71.40,0.00
2021-05-22 09:10,72.50,0.00
2021-05-22 09:20,78.50,0.00
2021-05-22 09:30,86.90,0.00
2021-05-22 09:40,84.10,0.00
2021-05-22 09:50,78.20,0.00
2021-05-22 10:00,74.20,0.00
2021-05-22 10:10,71.90,0.00
2021-05-22 10:20,71.90,0.00
2021-05-22 10:30,81.80,0.00
2021-05-22 10:40,77.30,0.00
2021-05-22 10:50,71.90,0.00
2021-05-22 11:00,71.90,0.00
2021-05-22 11:10,72.50,0.00
2021-05-22 11:20,78.30,0.00
2021-05-22 11:30,89.10,0.00
2021-05-22 11:40,82.60,0.00
2021-05-22 11:50,72.20,0.00
2021-05-22 12:00,54.00,0.00
2021-05-22 12:10,43.90,0.00
2021-05-22 12:20,45.80,0.00
2021-05-22 12:30,55.20,0.00
2021-05-22 12:40,46.40,0.00
2021-05-22 12:50,43.90,0.00
2021-05-22 13:00,47.60,0.00
2021-05-22 13:10,50.70,0.00
2021-05-22 13:20,54.50,0.00
2021-05-22 13:30,61.10,0.00
2021-05-22 13:40,50.90,0.00
2021-05-22 13:50,50.60,0.00
2021-05-22 14:00,50.80,0.00
2021-05-22 14:10,50.70,0.00
2021-05-22 14:20,48.50,0.00
2021-05-22 14:30,54.80,0.00
2021-05-22 14:40,44.00,0.00
2021-05-22 14:50,43.70,0.00
2021-05-22 15:00,43.70,0.00
2021-05-22 15:10,44.00,0.00
2021-05-22 15:20,50.20,0.00
2021-05-22 15:30,52.10,0.00
2021-05-22 15:40,43.70,0.00
2021-05-22 15:50,43.90,0.00
2021-05-22 16:00,47.20,0.00
2021-05-22 16:10,50.80,0.00
2021-05-22 16:20,58.90,0.00
2021-05-22 16:30,54.80,0.00
2021-05-22 16:40,44.00,0.00
2021-05-22 16:50,43.90,0.00
2021-05-22 17:00,43.90,0.00
2021-05-22 17:10,44.10,0.00
2021-05-22 17:20,59.80,0.00
2021-05-22 17:30,55.60,0.00
2021-05-22 17:40,50.30,0.00
2021-05-22 17:50,50.00,0.00
2021-05-22 18:00,47.30,0.00
2021-05-22 18:10,43.80,0.00
2021-05-22 18:20,55.10,0.00
2021-05-22 18:30,47.70,0.00
2021-05-22 18:40,43.90,0.00
2021-05-22 18:50,44.00,0.00
2021-05-22 19:00,47.80,0.00
2021-05-22 19:10,53.60,0.00
2021-05-22 19:20,63.90,0.00
2021-05-22 19:30,55.70,0.00
2021-05-22 19:40,54.80,0.00
2021-05-22 19:50,49.50,0.00
2021-05-22 20:00,49.10,0.00
2021-05-22 20:10,50.10,0.00
2021-05-22 20:20,60.80,0.00
2021-05-22 20:30,52.20,0.00
2021-05-22 20:40,49.90,0.00
2021-05-22 20:50,56.20,0.00
2021-05-22 21:00,56.00,0.00
2021-05-22 21:10,55.60,0.00
2021-05-22 21:20,67.20,0.00
2021-05-22 21:30,59.30,0.00
2021-05-22 21:40,56.20,0.00
2021-05-22 21:50,56.10,0.00
2021-05-22 22:00,56.40,0.00
2021-05-22 22:10,56.30,0.00
2021-05-22 22:20,60.10,0.00
2021-05-22 22:30,54.40,0.00
2021-05-22 22:40,49.20,0.00
2021-05-22 22:50,49.60,0.00
2021-05-22 23:00,49.50,0.00
2021-05-22 23:10,50.10,0.00
2021-05-22 23:20,60.60,0.00
2021-05-22 23:30,52.50,0.00
2021-05-22 23:40,49.30,0.00
2021-05-22 23:50,49.30,0.00
2021-05-23 00:00,48.70,0.00
2021-05-23 00:10,51.90,0.00
2021-05-23 00:20,60.20,0.00
2021-05-23 00:30,51.00,0.00
2021-05-23 00:40,49.50,0.00
2021-05-23 00:50,49.40,0.00
2021-05-23 01:00,49.60,0.00
2021-05-23 01:10,53.90,0.00
2021-05-23 01:20,59.90,0.00
2021-05-23 01:30,49.30,0.00
2021-05-23 01:40,49.30,0.00
2021-05-23 01:50,49.40,0.00
2021-05-23 02:00,53.10,0.00
2021-05-23 02:10,62.40,0.00
2021-05-23 02:20,65.20,0.00
2021-05-23 02:30,56.10,0.00
2021-05-23 02:40,53.10,0.00
2021-05-23 02:50,52.10,0.00
2021-05-23 03:00,47.30,0.00
2021-05-23 03:10,51.10,0.00
2021-05-23 03:20,51.70,0.00
2021-05-23 03:30,44.20,0.00
2021-05-23 03:40,44.10,0.00
2021-05-23 03:50,44.10,0.00
2021-05-23 04:00,44.30,0.00
2021-05-23 04:10,52.30,0.00
2021-05-23 04:20,57.60,0.00
2021-05-23 04:30,50.80,0.00
2021-05-23 04:40,50.50,0.00
2021-05-23 04:50,50.50,0.00
2021-05-23 05:00,50.60,0.00
2021-05-23 05:10,57.90,0.00
2021-05-23 05:20,51.10,0.00
2021-05-23 05:30,43.90,0.00
2021-05-23 05:40,44.10,0.00
2021-05-23 05:50,43.90,0.00
2021-05-23 06:00,44.10,0.00
2021-05-23 06:10,52.70,0.00
2021-05-23 06:20,57.20,0.00
2021-05-23 06:30,50.20,0.00
2021-05-23 06:40,50.10,0.00
2021-05-23 06:50,50.10,0.00
2021-05-23 07:00,49.90,0.00
2021-05-23 07:10,58.20,0.00
2021-05-23 07:20,49.80,0.00
2021-05-23 07:30,44.00,0.00
2021-05-23 07:40,43.50,0.00
2021-05-23 07:50,43.60,0.00
2021-05-23 08:00,43.70,0.00
2021-05-23 08:10,52.60,0.00
2021-05-23 08:20,49.80,0.00
2021-05-23 08:30,43.90,0.00
2021-05-23 08:40,43.70,0.00
2021-05-23 08:50,43.70,0.00
2021-05-23 09:00,43.70,0.00
2021-05-23 09:10,53.40,0.00
2021-05-23 09:20,56.50,0.00
2021-05-23 09:30,50.60,0.00
2021-05-23 09:40,50.10,0.00
2021-05-23 09:50,51.60,0.00
